"[disease of cellular proliferation (14566), genetic disease (630), disease of anatomical entity (7)]",[],"[Endocrine System Diseases (C19), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C46099), DiseaseCodeDTO(vocabulary=OMIM, code=155240), DiseaseCodeDTO(vocabulary=OMIM, code=171400), DiseaseCodeDTO(vocabulary=MSH, code=C536911), DiseaseCodeDTO(vocabulary=OMIM, code=191315), DiseaseCodeDTO(vocabulary=OMIM, code=164761), DiseaseCodeDTO(vocabulary=DO, code=0050547), DiseaseCodeDTO(vocabulary=ORDO, code=99361), DiseaseCodeDTO(vocabulary=MONDO, code=0007958), DiseaseCodeDTO(vocabulary=EFO, code=1001957), DiseaseCodeDTO(vocabulary=UMLS, code=C1833921)]",Hereditary Thyroid Gland Medullary Carcinoma,2971.6624,"[DiseaseSynonymDTO(name=Hereditary Thyroid Gland Medullary Carcinoma, isPTI=true), DiseaseSynonymDTO(name=MTC, isPTI=false), DiseaseSynonymDTO(name=THYROID CARCINOMA, FAMILIAL MEDULLARY, isPTI=true), DiseaseSynonymDTO(name=Medullary thyroid cancer, familial, isPTI=false), DiseaseSynonymDTO(name=Familial Thyroid Gland Medullary Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid cancer, familial medullary, isPTI=false), DiseaseSynonymDTO(name=Familial medullary thyroid carcinoma, isPTI=false), DiseaseSynonymDTO(name=Familial medullary thyroid cancer, isPTI=true), DiseaseSynonymDTO(name=familial medullary carcinoma of thyroid gland, isPTI=false), DiseaseSynonymDTO(name=familial medullary thyroid carcinoma (diagnosis), isPTI=false), DiseaseSynonymDTO(name=MTC1, isPTI=false), DiseaseSynonymDTO(name=FMTC, isPTI=false), DiseaseSynonymDTO(name=hereditary medullary thyroid cancer, isPTI=true), DiseaseSynonymDTO(name=Familial MTC, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C5471), DiseaseCodeDTO(vocabulary=UMLS, code=C1336207)]",Stage IIIA Gastric Carcinoma,2961.5186,"[DiseaseSynonymDTO(name=Stage IIIA Gastric Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Gastric Cancer, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Gastric Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=Gastric Cancer Stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Gastric Carcinoma Stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Carcinoma of Stomach, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Carcinoma of the Stomach, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Stomach Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Stomach Carcinoma Stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of Stomach Stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of the Stomach Stage IIIA, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C3261), DiseaseCodeDTO(vocabulary=MONDO, code=0024883), DiseaseCodeDTO(vocabulary=EFO, code=0009709), DiseaseCodeDTO(vocabulary=UMLS, code=C2939420)]","Neoplasm, metastatic",2956.4634,"[DiseaseSynonymDTO(name=Neoplasm, metastatic, isPTI=true), DiseaseSynonymDTO(name=metastasis from malignant neoplasm (diagnosis), isPTI=false), DiseaseSynonymDTO(name=metastasis from malignant neoplasm, isPTI=true), DiseaseSynonymDTO(name=metastatic cancer, isPTI=false), DiseaseSynonymDTO(name=Metastatic cancer NOS, isPTI=false), DiseaseSynonymDTO(name=Metastatic disease NOS, isPTI=false), DiseaseSynonymDTO(name=Metastatic Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Metastatic disease, isPTI=false), DiseaseSynonymDTO(name=Metastatic Malignant Neoplasm, isPTI=false), DiseaseSynonymDTO(name=metastatic tumor, isPTI=false), DiseaseSynonymDTO(name=Neoplasm, secondary, isPTI=false), DiseaseSynonymDTO(name=Tumor, metastatic, isPTI=false), DiseaseSynonymDTO(name=Tumor, secondary, isPTI=false), DiseaseSynonymDTO(name=Tumour, metastatic, isPTI=false), DiseaseSynonymDTO(name=Tumour, secondary, isPTI=false), DiseaseSynonymDTO(name=Neoplasm, metastatic (morphologic abnormality), isPTI=false), DiseaseSynonymDTO(name=cancer, metastatic, isPTI=false), DiseaseSynonymDTO(name=neoplasm; metastatic, isPTI=true)]",disease
[],[],"[Stomatognathic Diseases (C07), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C4824), DiseaseCodeDTO(vocabulary=MONDO, code=0850154), DiseaseCodeDTO(vocabulary=UMLS, code=C0558353)]",carcinoma of tongue (diagnosis),2948.5273,"[DiseaseSynonymDTO(name=carcinoma of tongue (diagnosis), isPTI=false), DiseaseSynonymDTO(name=carcinoma of tongue, isPTI=true), DiseaseSynonymDTO(name=carcinoma tongue, isPTI=false), DiseaseSynonymDTO(name=tongue carcinoma, isPTI=true), DiseaseSynonymDTO(name=Tongue carcinoma (disorder), isPTI=false), DiseaseSynonymDTO(name=tongue cancer, isPTI=true), DiseaseSynonymDTO(name=Cancer of Tongue, isPTI=false), DiseaseSynonymDTO(name=Cancer of the Tongue, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of the Tongue, isPTI=false), DiseaseSynonymDTO(name=Carcinoma;tongue, isPTI=true)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Endocrine System Diseases (C19), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=ICD10, code=C74.0), DiseaseCodeDTO(vocabulary=MSH, code=D000306), DiseaseCodeDTO(vocabulary=NCI, code=C9327), DiseaseCodeDTO(vocabulary=DO, code=660), DiseaseCodeDTO(vocabulary=ORDO, code=1501), DiseaseCodeDTO(vocabulary=MONDO, code=0006639), DiseaseCodeDTO(vocabulary=MONDO, code=0021312), DiseaseCodeDTO(vocabulary=MONDO, code=0036591), DiseaseCodeDTO(vocabulary=EFO, code=1000015), DiseaseCodeDTO(vocabulary=EFO, code=1000796), DiseaseCodeDTO(vocabulary=UMLS, code=C0346402)]",Cortex of adrenal gland,2948.0544,"[DiseaseSynonymDTO(name=Cortex of adrenal gland, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of cortex of adrenal gland, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of adrenal cortex, isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of adrenal cortex (diagnosis), isPTI=false), DiseaseSynonymDTO(name=Adrenal Cortex Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancers, Adrenal Cortex, isPTI=false), DiseaseSynonymDTO(name=Adrenocortical Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancer, Adrenocortical, isPTI=false), DiseaseSynonymDTO(name=Cancers, Adrenocortical, isPTI=false), DiseaseSynonymDTO(name=malignant tumor of adrenal cortex, isPTI=false), DiseaseSynonymDTO(name=adrenocortical cancer, isPTI=true), DiseaseSynonymDTO(name=adrenal cortex cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer, Adrenal Cortex, isPTI=false), DiseaseSynonymDTO(name=Malignant adrenal cortical tumour, isPTI=false), DiseaseSynonymDTO(name=Malignant tumour of adrenal cortex, isPTI=false), DiseaseSynonymDTO(name=Malignant tumor of adrenal cortex (disorder), isPTI=false), DiseaseSynonymDTO(name=Cancer of the Adrenal Cortex, isPTI=false), DiseaseSynonymDTO(name=Cancer of Adrenal Cortex, isPTI=false), DiseaseSynonymDTO(name=Adrenal cortical tumor, malignant, isPTI=false), DiseaseSynonymDTO(name=Adrenal cortical tumour, malignant, isPTI=false), DiseaseSynonymDTO(name=Malignant Adrenal Cortical Neoplasm, isPTI=true), DiseaseSynonymDTO(name=Malignant Adrenal Cortex Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of adrenal cortex (disorder), isPTI=false), DiseaseSynonymDTO(name=adrenal cortical; tumor, malignant, isPTI=true), DiseaseSynonymDTO(name=adrenal; cortical, tumor, malignant, isPTI=true), DiseaseSynonymDTO(name=adrenal; tumor, cortical, malignant, isPTI=true), DiseaseSynonymDTO(name=tumor; adrenal cortical, malignant, isPTI=true), DiseaseSynonymDTO(name=Malignant Adrenal Cortex Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Adrenocortical Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Malignant Adrenocortical Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Neoplasm of the Adrenal Cortex, isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of the Adrenal Cortex, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C88375), DiseaseCodeDTO(vocabulary=UMLS, code=C2216695)]",malignant neoplasm of breast stage I (diagnosis),2941.07,"[DiseaseSynonymDTO(name=malignant neoplasm of breast stage I (diagnosis), isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of breast stage I, isPTI=true), DiseaseSynonymDTO(name=malignant breast neoplasm stage I, isPTI=false), DiseaseSynonymDTO(name=malignant tumor of breast stage I, isPTI=false), DiseaseSynonymDTO(name=breast cancer stage I, isPTI=false), DiseaseSynonymDTO(name=Stage I Breast Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=Stage I Breast Cancer, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C157764), DiseaseCodeDTO(vocabulary=UMLS, code=C4763838)]",Metastatic Small Cell Neuroendocrine Prostate Cancer,2937.9412,"[DiseaseSynonymDTO(name=Metastatic Small Cell Neuroendocrine Prostate Cancer, isPTI=false), DiseaseSynonymDTO(name=Metastatic Small Cell Prostate Cancer, isPTI=false), DiseaseSynonymDTO(name=Metastatic Prostate Small Cell Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Metastatic Prostate Small Cell Neuroendocrine Carcinoma, isPTI=true)]",disease
[],[],"[Neoplasms (C04), Urogenital Diseases (C12)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C7716), DiseaseCodeDTO(vocabulary=ORDO, code=598216), DiseaseCodeDTO(vocabulary=MONDO, code=0020654), DiseaseCodeDTO(vocabulary=MONDO, code=0020659), DiseaseCodeDTO(vocabulary=UMLS, code=C0220648)]",Renal Pelvis and Ureter Urothelial Carcinoma,2937.543,"[DiseaseSynonymDTO(name=Renal Pelvis and Ureter Urothelial Carcinoma, isPTI=false), DiseaseSynonymDTO(name=transitional cell cancer of the renal pelvis and ureter, isPTI=true), DiseaseSynonymDTO(name=cancer pelvis renal ureter, isPTI=false), DiseaseSynonymDTO(name=Renal pelvis and ureteric cancer transitional cell NOS, isPTI=false), DiseaseSynonymDTO(name=Transitional cell cancer of the renal pelvis and ureter NOS, isPTI=false), DiseaseSynonymDTO(name=Renal pelvis and ureter transitional cell cancer NOS, isPTI=false), DiseaseSynonymDTO(name=Renal pelvis and ureteral cancer transitional cell NOS, isPTI=false), DiseaseSynonymDTO(name=Renal pelvis and ureteric cancer NOS transitional cell, isPTI=false), DiseaseSynonymDTO(name=Upper Urinary Tract Urothelial Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Urothelial Carcinoma of the Upper Urinary Tract, isPTI=false), DiseaseSynonymDTO(name=Transitional cell carcinoma of the pelvis and ureter, isPTI=false), DiseaseSynonymDTO(name=UTUC, isPTI=false), DiseaseSynonymDTO(name=Transitional cell carcinoma of the upper urinary tract, isPTI=false), DiseaseSynonymDTO(name=Upper tract urothelial carcinoma, isPTI=true), DiseaseSynonymDTO(name=Transitional cell carcinoma of upper urinary tract, isPTI=true), DiseaseSynonymDTO(name=Transitional cell carcinoma of upper urinary tract (disorder), isPTI=false), DiseaseSynonymDTO(name=Urothelial carcinoma of upper urinary tract, isPTI=false), DiseaseSynonymDTO(name=TCC of the renal pelvis and ureter, isPTI=false), DiseaseSynonymDTO(name=transitional cell carcinoma of the renal pelvis and ureter, isPTI=false), DiseaseSynonymDTO(name=Renal Pelvis and Ureter TCC, isPTI=false), DiseaseSynonymDTO(name=Renal Pelvis and Ureter Transitional Cell Cancer, isPTI=false), DiseaseSynonymDTO(name=Renal Pelvis and Ureter Transitional Cell Carcinoma, isPTI=false), DiseaseSynonymDTO(name=TCC of Renal Pelvis and Ureter, isPTI=false), DiseaseSynonymDTO(name=Transitional Cell Cancer of Renal Pelvis and Ureter, isPTI=false), DiseaseSynonymDTO(name=Transitional Cell Carcinoma of Renal Pelvis and Ureter, isPTI=false), DiseaseSynonymDTO(name=Urothelial Carcinoma of the Renal Pelvis and Ureter, isPTI=false)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Neoplasms (C04), Respiratory Tract Diseases (C08)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=ICD10, code=C76.1), DiseaseCodeDTO(vocabulary=ICD9CM, code=195.1), DiseaseCodeDTO(vocabulary=NCI, code=C3576), DiseaseCodeDTO(vocabulary=DO, code=5093), DiseaseCodeDTO(vocabulary=MONDO, code=0003274), DiseaseCodeDTO(vocabulary=UMLS, code=C0153661)]",Thorax,2922.8599,"[DiseaseSynonymDTO(name=Thorax, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of thorax, isPTI=false), DiseaseSynonymDTO(name=malignant tumor of ill-defined site of thorax, isPTI=false), DiseaseSynonymDTO(name=Malign neopl thorax, isPTI=false), DiseaseSynonymDTO(name=Thoracic malignant neoplasm NOS, isPTI=false), DiseaseSynonymDTO(name=thoracic cancer, isPTI=true), DiseaseSynonymDTO(name=cancer thoracic, isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of ill-defined site of thorax, isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of the thorax (diagnosis), isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of the thorax, isPTI=true), DiseaseSynonymDTO(name=Malignant neoplasm of thorax NOS, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of thorax NOS (disorder), isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of Thorax, isPTI=false), DiseaseSynonymDTO(name=Malignant Thoracic Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Malignant Thoracic Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of the Thorax, isPTI=false), DiseaseSynonymDTO(name=Malignant tumour of thorax, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of thorax (disorder), isPTI=false), DiseaseSynonymDTO(name=thorax/respiratory cancer, isPTI=true), DiseaseSynonymDTO(name=respiratory/thorax cancer, isPTI=false), DiseaseSynonymDTO(name=Malignant tumor of thorax (disorder), isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=ICD9CM, code=199.0), DiseaseCodeDTO(vocabulary=NCI, code=C27470), DiseaseCodeDTO(vocabulary=UMLS, code=C0346957)]",Malig neo disseminated,2922.3457,"[DiseaseSynonymDTO(name=Malig neo disseminated, isPTI=false), DiseaseSynonymDTO(name=cancers metastatic, isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm disseminated, isPTI=false), DiseaseSynonymDTO(name=generalize malignancy, isPTI=false), DiseaseSynonymDTO(name=metastatic cancer, isPTI=true), DiseaseSynonymDTO(name=cancer metastatic, isPTI=false), DiseaseSynonymDTO(name=Disseminated malignant neoplasm, isPTI=false), DiseaseSynonymDTO(name=Disseminated malignant neoplasm without specification of site, isPTI=true), DiseaseSynonymDTO(name=Disseminated cancer, isPTI=false), DiseaseSynonymDTO(name=Disseminated malignancy NOS (disorder), isPTI=false), DiseaseSynonymDTO(name=Generalized cancer, isPTI=false), DiseaseSynonymDTO(name=Disseminated Ca -unspecif site, isPTI=false), DiseaseSynonymDTO(name=Generalised malignancy, isPTI=false), DiseaseSynonymDTO(name=Generalised cancer, isPTI=false), DiseaseSynonymDTO(name=CA - Disseminated cancer, isPTI=false), DiseaseSynonymDTO(name=Dissemin.Ca unsp. site, isPTI=false), DiseaseSynonymDTO(name=Disseminated malignancy, isPTI=false), DiseaseSynonymDTO(name=Generalized malignancy, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm, disseminated, isPTI=false), DiseaseSynonymDTO(name=Disseminated malignancy (disorder), isPTI=false), DiseaseSynonymDTO(name=Disseminated malignancy NOS, isPTI=false), DiseaseSynonymDTO(name=metastatic cancer widespread malignant neoplastic disease, isPTI=false), DiseaseSynonymDTO(name=Widespread metastatic malignant neoplastic disease (diagnosis), isPTI=false), DiseaseSynonymDTO(name=Widespread metastatic malignant neoplastic disease, isPTI=true), DiseaseSynonymDTO(name=Widespread metastatic malignant neoplastic disease (disorder), isPTI=false)]",disease
[],[],"[Endocrine System Diseases (C19), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C2217678)]",malignant neoplasm of thyroid stage III,2913.4946,"[DiseaseSynonymDTO(name=malignant neoplasm of thyroid stage III, isPTI=true), DiseaseSynonymDTO(name=malignant neoplasm of thyroid stage III (diagnosis), isPTI=false), DiseaseSynonymDTO(name=thyroid cancer stage III, isPTI=false), DiseaseSynonymDTO(name=malignant tumor of thyroid stage III, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C2216697)]",malignant neoplasm of breast stage IIb (diagnosis),2901.3088,"[DiseaseSynonymDTO(name=malignant neoplasm of breast stage IIb (diagnosis), isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of breast stage IIb, isPTI=true), DiseaseSynonymDTO(name=malignant breast neoplasm stage IIb, isPTI=false), DiseaseSynonymDTO(name=malignant tumor of breast stage IIb, isPTI=false), DiseaseSynonymDTO(name=breast cancer stage IIb, isPTI=false), DiseaseSynonymDTO(name=stage IIB breast cancer, isPTI=true)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]","[Neoplasm (02664), Abnormality of the endocrine system (00818)]",[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C3878), DiseaseCodeDTO(vocabulary=MSH, code=D065646), DiseaseCodeDTO(vocabulary=HPO, code=HP:0011779), DiseaseCodeDTO(vocabulary=DO, code=0080522), DiseaseCodeDTO(vocabulary=ORDO, code=142), DiseaseCodeDTO(vocabulary=MONDO, code=0006468), DiseaseCodeDTO(vocabulary=EFO, code=1000595), DiseaseCodeDTO(vocabulary=UMLS, code=C0238461)]",Anaplastic Thyroid Carcinoma,2900.4866,"[DiseaseSynonymDTO(name=Anaplastic Thyroid Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Carcinosarcoma, isPTI=false), DiseaseSynonymDTO(name=Undifferentiated (Anaplastic) Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Dedifferentiated Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Metaplastic Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Pleomorphic Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Sarcomatoid Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=carcinosarcoma of thyroid gland, isPTI=true), DiseaseSynonymDTO(name=carcinosarcoma of thyroid gland (diagnosis), isPTI=false), DiseaseSynonymDTO(name=Anaplastic thyroid cancer, isPTI=true), DiseaseSynonymDTO(name=undifferentiated thyroid cancer, isPTI=false), DiseaseSynonymDTO(name=anaplastic carcinoma thyroid, isPTI=false), DiseaseSynonymDTO(name=thyroid cancer anaplastic, isPTI=false), DiseaseSynonymDTO(name=anaplastic cancer thyroid, isPTI=false), DiseaseSynonymDTO(name=cancer thyroid undifferentiated, isPTI=false), DiseaseSynonymDTO(name=undifferentiated carcinoma of thyroid gland, isPTI=false), DiseaseSynonymDTO(name=anaplastic carcinoma of thyroid gland, isPTI=false), DiseaseSynonymDTO(name=spindle cell carcinoma of thyroid gland, isPTI=false), DiseaseSynonymDTO(name=anaplastic thyroid carcinoma (diagnosis), isPTI=false), DiseaseSynonymDTO(name=spindle cell carcinoma of the thyroid gland (diagnosis), isPTI=false), DiseaseSynonymDTO(name=undifferentiated carcinoma of the thyroid gland, isPTI=true), DiseaseSynonymDTO(name=undifferentiated carcinoma of the thyroid gland (diagnosis), isPTI=false), DiseaseSynonymDTO(name=spindle cell carcinoma of the thyroid gland, isPTI=true), DiseaseSynonymDTO(name=Anaplastic Thyroid Carcinomas, isPTI=false), DiseaseSynonymDTO(name=Cancers, Anaplastic Thyroid, isPTI=false), DiseaseSynonymDTO(name=Thyroid Cancers, Anaplastic, isPTI=false), DiseaseSynonymDTO(name=Thyroid Carcinoma, Anaplastic, isPTI=false), DiseaseSynonymDTO(name=Carcinoma, Anaplastic Thyroid, isPTI=false), DiseaseSynonymDTO(name=Anaplastic Thyroid Cancers, isPTI=false), DiseaseSynonymDTO(name=Thyroid Carcinomas, Anaplastic, isPTI=false), DiseaseSynonymDTO(name=Cancer, Anaplastic Thyroid, isPTI=false), DiseaseSynonymDTO(name=Carcinomas, Anaplastic Thyroid, isPTI=false), DiseaseSynonymDTO(name=Thyroid Cancer, Anaplastic, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Pleomorphic Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Sarcomatoid Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Anaplastic Carcinoma, isPTI=true), DiseaseSynonymDTO(name=ATC, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Metaplastic Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Giant Cell Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Spindle Cell Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Thyroid Gland Undifferentiated (Anaplastic) Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Anaplastic Follicular Cell Derived Thyroid Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Anaplastic Follicular Cell Derived Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Anaplastic thyroid carcinoma (disorder), isPTI=false), DiseaseSynonymDTO(name=anaplastic carcinoma of the thyroid, isPTI=false), DiseaseSynonymDTO(name=thyroid cancer, anaplastic carcinoma, isPTI=false), DiseaseSynonymDTO(name=thyroid cancer, undifferentiated carcinoma, isPTI=false), DiseaseSynonymDTO(name=undifferentiated carcinoma of the thyroid, isPTI=false), DiseaseSynonymDTO(name=Anaplastic Carcinoma of Thyroid, isPTI=false), DiseaseSynonymDTO(name=Anaplastic Carcinoma of the Thyroid Gland, isPTI=false), DiseaseSynonymDTO(name=Anaplastic Thyroid Gland Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Undifferentiated Carcinoma of Thyroid, isPTI=false), DiseaseSynonymDTO(name=Undifferentiated Thyroid Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Undifferentiated Thyroid Gland Carcinoma, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C5818194)]",Breast cancer in complete remission,2884.1736,"[DiseaseSynonymDTO(name=Breast cancer in complete remission, isPTI=false), DiseaseSynonymDTO(name=Breast cancer in full remission, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of breast in full remission (disorder), isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of breast in full remission, isPTI=true)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Neoplasms (C04), Skin and Connective Tissue Diseases (C17)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C4001), DiseaseCodeDTO(vocabulary=MSH, code=D058922), DiseaseCodeDTO(vocabulary=DO, code=6263), DiseaseCodeDTO(vocabulary=MONDO, code=0006804), DiseaseCodeDTO(vocabulary=EFO, code=1000984), DiseaseCodeDTO(vocabulary=UMLS, code=C0278601)]",Mastitis Carcinomatosa,2868.9258,"[DiseaseSynonymDTO(name=Mastitis Carcinomatosa, isPTI=false), DiseaseSynonymDTO(name=inflammatory carcinoma of breast (diagnosis), isPTI=false), DiseaseSynonymDTO(name=inflammatory carcinoma of breast, isPTI=true), DiseaseSynonymDTO(name=Inflammatory carcinoma of the breast, isPTI=true), DiseaseSynonymDTO(name=Inflammatory Breast Neoplasms, isPTI=false), DiseaseSynonymDTO(name=Breast Neoplasm, Inflammatory, isPTI=false), DiseaseSynonymDTO(name=Breast Carcinomas, Inflammatory, isPTI=false), DiseaseSynonymDTO(name=Breast Cancer, Inflammatory, isPTI=false), DiseaseSynonymDTO(name=Inflammatory Breast Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Breast Cancers, Inflammatory, isPTI=false), DiseaseSynonymDTO(name=Inflammatory Breast Cancers, isPTI=false), DiseaseSynonymDTO(name=Breast Carcinoma, Inflammatory, isPTI=false), DiseaseSynonymDTO(name=Neoplasm, Inflammatory Breast, isPTI=false), DiseaseSynonymDTO(name=Carcinomas, Inflammatory Breast, isPTI=false), DiseaseSynonymDTO(name=Cancer, Inflammatory Breast, isPTI=false), DiseaseSynonymDTO(name=Inflammatory Breast Carcinomas, isPTI=false), DiseaseSynonymDTO(name=Cancers, Inflammatory Breast, isPTI=false), DiseaseSynonymDTO(name=Breast Neoplasms, Inflammatory, isPTI=false), DiseaseSynonymDTO(name=Neoplasms, Inflammatory Breast, isPTI=false), DiseaseSynonymDTO(name=Carcinoma, Inflammatory Breast, isPTI=false), DiseaseSynonymDTO(name=inflammatory carcinoma breast, isPTI=false), DiseaseSynonymDTO(name=breast inflammatory carcinoma, isPTI=false), DiseaseSynonymDTO(name=inflammatory cancer breast, isPTI=false), DiseaseSynonymDTO(name=inflammatory breast cancer, isPTI=true), DiseaseSynonymDTO(name=inflammatory breast carcinoma, isPTI=false), DiseaseSynonymDTO(name=breast cancer inflammatory, isPTI=false), DiseaseSynonymDTO(name=breast inflammatory cancer, isPTI=false), DiseaseSynonymDTO(name=Breast carcinoma inflammatory, isPTI=false), DiseaseSynonymDTO(name=Inflammatory Breast Cancer (IBC), isPTI=false), DiseaseSynonymDTO(name=Inflammatory carcinoma of breast (disorder), isPTI=false), DiseaseSynonymDTO(name=carcinoma of the breast, inflammatory, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C89771), DiseaseCodeDTO(vocabulary=MONDO, code=0004708), DiseaseCodeDTO(vocabulary=UMLS, code=C4520824)]",Esophageal Carcinoma in situ AJCC v7,2862.8691,"[DiseaseSynonymDTO(name=Esophageal Carcinoma in situ AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Severe Esophageal Dysplasia AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Severe Esophageal Dysplasia, isPTI=false), DiseaseSynonymDTO(name=Esophageal Carcinoma in situ, isPTI=false), DiseaseSynonymDTO(name=Stage 0 Esophageal Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=Stage 0 Esophageal Cancer, isPTI=false)]",disease
